frame.number,frame.time_relative,_ws.col.Protocol,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
"388","44.846010000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"389","44.846011000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"390","44.846012000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"391","44.846012000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"392","44.846013000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"393","44.846013000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"394","44.846014000","TLSv1.2","6","52.96.181.226","192.168.68.126","443","49474",,
"395","44.846076000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"396","44.846076000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
"397","44.846104000","TCP","6","192.168.68.126","52.96.181.226","49474","443",,
