frame.number,frame.time_relative,_ws.col.Protocol,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
"274","37.076981000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"275","37.078965000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"276","37.079918000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"277","37.083024000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"278","37.084126000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"279","37.086147000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"280","37.087400000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"281","37.088575000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"282","37.089614000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"283","37.182808000","MDNS","17","192.168.68.116","224.0.0.251",,,"5353","5353"
"284","37.182811000","MDNS",,,,,,"5353","5353"
"285","37.764081000","TLSv1.2","6","192.168.68.126","52.239.234.100","49480","443",,
"286","37.764528000","TCP","6","192.168.68.126","52.239.234.100","49480","443",,
"287","37.836054000","TCP","6","52.239.234.100","192.168.68.126","443","49480",,
"288","37.836059000","TCP","6","52.239.234.100","192.168.68.126","443","49480",,
"289","37.836197000","TCP","6","192.168.68.126","52.239.234.100","49480","443",,
"290","38.100298000","ARP",,,,,,,
"291","38.304830000","ARP",,,,,,,
"292","38.895498000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"293","38.939344000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"294","38.940087000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"295","38.940145000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"296","38.940666000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"297","39.020927000","ARP",,,,,,,
"298","39.021121000","UDP","17","192.168.68.122","192.168.68.255",,,"57621","57621"
"299","39.027208000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"300","39.027274000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"301","39.065375000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"302","39.082018000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"303","39.082021000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"304","39.082082000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"305","39.082083000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"306","39.082523000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"307","39.158882000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"308","39.158983000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"309","39.202702000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"310","39.202706000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"311","39.202811000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"312","39.225867000","ARP",,,,,,,
"313","39.431118000","ARP",,,,,,,
"314","39.431212000","ARP",,,,,,,
"315","39.999069000","SSDP","17","192.168.68.126","239.255.255.250",,,"53529","1900"
"316","39.999273000","MDNS","17","192.168.68.126","224.0.0.251",,,"65494","5353"
"317","39.999317000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"318","40.083472000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"319","40.083623000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"320","40.126906000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"321","40.250098000","MDNS","17","192.168.68.116","224.0.0.251",,,"5353","5353"
"322","40.250305000","MDNS",,,,,,"5353","5353"
"323","40.250444000","ARP",,,,,,,
"324","40.660224000","ARP",,,,,,,
"325","41.683815000","ARP",,,,,,,
"326","41.889013000","ARP",,,,,,,
"327","42.505255000","UDP","17","192.168.68.105","192.168.68.255",,,"889","889"
"328","42.708306000","ARP",,,,,,,
"329","42.913152000","ARP",,,,,,,
"330","43.117478000","ARP",,,,,,,
"331","43.936857000","ARP",,,,,,,
"332","44.346283000","ARP",,,,,,,
"333","45.233387000","TLSv1.2","6","192.168.68.126","52.114.128.75","49489","443",,
"334","45.233834000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"335","45.267341000","ARP",,,,,,,
"336","45.304536000","TCP","6","52.114.128.75","192.168.68.126","443","49489",,
"337","45.304541000","TCP","6","52.114.128.75","192.168.68.126","443","49489",,
"338","45.304675000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"339","45.575565000","ARP",,,,,,,
"340","46.496792000","ARP",,,,,,,
"341","47.521363000","ARP",,,,,,,
"342","47.725907000","ARP",,,,,,,
"343","47.828214000","ARP",,,,,,,
"344","47.828219000","ARP",,,,,,,
"345","47.828219000","ARP",,,,,,,
"346","47.828508000","ARP",,,,,,,
"347","47.828942000","ARP",,,,,,,
"348","47.930525000","ARP",,,,,,,
"349","47.930684000","ARP",,,,,,,
"350","47.930689000","ARP",,,,,,,
"351","47.931091000","ARP",,,,,,,
"352","47.931094000","ARP",,,,,,,
"353","48.033311000","ARP",,,,,,,
"354","48.033314000","ARP",,,,,,,
"355","48.033315000","ARP",,,,,,,
"356","48.033316000","ARP",,,,,,,
"357","48.750101000","ARP",,,,,,,
"358","48.750112000","ARP",,,,,,,
"359","48.852206000","ARP",,,,,,,
"360","48.852211000","ARP",,,,,,,
"361","48.852470000","UDP","17","192.168.68.122","192.168.68.255",,,"57621","57621"
"362","48.852473000","ARP",,,,,,,
"363","48.852474000","ARP",,,,,,,
"364","48.954604000","ARP",,,,,,,
"365","48.954608000","ARP",,,,,,,
"366","48.954608000","ARP",,,,,,,
"367","48.954873000","ARP",,,,,,,
"368","48.954875000","ARP",,,,,,,
"369","49.057357000","ARP",,,,,,,
"370","49.057361000","ARP",,,,,,,
"371","49.057362000","ARP",,,,,,,
"372","49.057363000","ARP",,,,,,,
"373","49.262127000","MDNS","17","192.168.68.116","224.0.0.251",,,"5353","5353"
"374","49.262131000","MDNS",,,,,,"5353","5353"
"375","49.678927000","DNS","17","192.168.68.126","71.10.216.1",,,"56553","53"
"376","49.679547000","TCP","6","192.168.68.126","52.114.133.60","49493","443",,
"377","49.726263000","DNS","17","71.10.216.1","192.168.68.126",,,"53","56553"
"378","49.726267000","TCP","6","52.114.133.60","192.168.68.126","443","49493",,
"379","49.726418000","TCP","6","192.168.68.126","52.114.133.60","49493","443",,
"380","49.727178000","TLSv1","6","192.168.68.126","52.114.133.60","49493","443",,
"381","49.770642000","TCP","6","52.114.133.60","192.168.68.126","443","49493",,
"382","49.770648000","TCP","6","52.114.133.60","192.168.68.126","443","49493",,
"383","49.770650000","TCP","6","52.114.133.60","192.168.68.126","443","49493",,
"384","49.770651000","TCP","6","52.114.133.60","192.168.68.126","443","49493",,
"385","49.770660000","TCP","6","52.114.133.60","192.168.68.126","443","49493",,
"386","49.770661000","TLSv1.2","6","52.114.133.60","192.168.68.126","443","49493",,
"387","49.770848000","TCP","6","192.168.68.126","52.114.133.60","49493","443",,
"388","49.770848000","TCP","6","192.168.68.126","52.114.133.60","49493","443",,
"389","49.770848000","TCP","6","192.168.68.126","52.114.133.60","49493","443",,
"390","49.771006000","TCP","6","192.168.68.126","52.114.133.60","49493","443",,
"391","49.773036000","ARP",,,,,,,
"392","49.773154000","ARP",,,,,,,
"393","49.773324000","ARP",,,,,,,
"394","49.773640000","ARP",,,,,,,
"395","49.780130000","TLSv1.2","6","192.168.68.126","52.114.133.60","49493","443",,
"396","49.826232000","TLSv1.2","6","52.114.133.60","192.168.68.126","443","49493",,
"397","49.826299000","TCP","6","192.168.68.126","52.114.133.60","49493","443",,
"398","49.827178000","TLSv1.2","6","192.168.68.126","52.114.133.60","49493","443",,
"399","49.874555000","TLSv1.2","6","52.114.133.60","192.168.68.126","443","49493",,
"400","49.874681000","TCP","6","192.168.68.126","52.114.133.60","49493","443",,
"401","49.875443000","TCP","6","192.168.68.126","52.114.133.60","49493","443",,
"402","49.875444000","TCP","6","192.168.68.126","52.114.133.60","49493","443",,
"403","49.875445000","TLSv1.2","6","192.168.68.126","52.114.133.60","49493","443",,
"404","49.875553000","ARP",,,,,,,
"405","49.875558000","ARP",,,,,,,
"406","49.923437000","TCP","6","52.114.133.60","192.168.68.126","443","49493",,
