frame.number,frame.time_relative,_ws.col.Protocol,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
"226","16.281014000","TCP","6","35.173.87.46","192.168.68.126","443","55902",,
"227","16.281015000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55902",,
"228","16.281015000","TCP","6","35.173.87.46","192.168.68.126","443","55902",,
"229","16.281016000","TCP","6","35.173.87.46","192.168.68.126","443","55902",,
"230","16.281017000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55902",,
"231","16.281106000","TCP","6","192.168.68.126","35.173.87.46","55901","443",,
"232","16.281125000","TCP","6","192.168.68.126","35.173.87.46","55902","443",,
"233","16.281125000","TCP","6","192.168.68.126","35.173.87.46","55902","443",,
"234","16.281125000","TCP","6","192.168.68.126","35.173.87.46","55902","443",,
"235","16.281270000","TLSv1.3","6","192.168.68.126","162.159.133.232","55899","443",,
"236","16.281276000","TLSv1.2","6","192.168.68.126","35.173.87.46","55901","443",,
"237","16.281487000","TLSv1.3","6","192.168.68.126","162.159.133.232","55899","443",,
"238","16.281737000","TLSv1.3","6","192.168.68.126","162.159.133.232","55899","443",,
"239","16.281784000","TLSv1.3","6","192.168.68.126","162.159.133.232","55899","443",,
"240","16.281849000","TCP","6","192.168.68.126","35.173.87.46","55902","443",,
"241","16.282379000","TLSv1.2","6","192.168.68.126","35.173.87.46","55901","443",,
"242","16.282526000","TLSv1.2","6","192.168.68.126","35.173.87.46","55901","443",,
"243","16.287994000","TLSv1.3","6","192.168.68.126","162.159.130.232","55900","443",,
"244","16.288140000","TLSv1.3","6","192.168.68.126","162.159.130.232","55900","443",,
"245","16.288267000","TLSv1.3","6","192.168.68.126","162.159.130.232","55900","443",,
"246","16.292430000","TLSv1.2","6","192.168.68.126","35.173.87.46","55902","443",,
"247","16.300236000","TCP","6","35.173.87.46","192.168.68.126","443","55903",,
"248","16.300240000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55903",,
"249","16.300241000","TCP","6","35.173.87.46","192.168.68.126","443","55903",,
